 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
    11  5.0429e-01  4.9601e-01  5.0236e-01  5.0007e-01  4.9475e-01  4.8139e-01  4.6423e-01  4.3827e-01  3.9407e-01  3.1657e-01  1.9224e-01  1.1260e-01  7.0678e-02  4.3727e-02  2.8500e-02  1.9071e-02  1.2443e-02  8.0691e-03  5.4022e-03  3.5052e-03  6.9449e-04  6.0745e-05  9.6709e-06  1.5428e-06  1.0045e-06  8.6842e-07  5.6572e-07  3.2439e-07  1.8094e-07  9.4975e-08  2.8727e-08  1.6662e-09 -1.5606e-08 -2.0318e-08 -2.0614e-08 -1.9355e-08 -1.5047e-08 -1.1640e-08 -7.8010e-09 -5.4298e-09
    12  3.4128e-01  3.4198e-01  3.4548e-01  3.3788e-01  3.3333e-01  3.2414e-01  3.0806e-01  2.8581e-01  2.5130e-01  2.0440e-01  1.4574e-01  9.5519e-02  6.2766e-02  4.0717e-02  2.6339e-02  1.7693e-02  1.1986e-02  7.8575e-03  5.1618e-03  3.3755e-03  6.5348e-04  5.9775e-05  9.2248e-06  1.4218e-06  8.9024e-07  7.0713e-07  4.3561e-07  2.0619e-07  8.2298e-08 -8.4000e-09 -4.9045e-08 -5.5077e-08 -5.6925e-08 -5.2630e-08 -4.1266e-08 -3.1909e-08 -2.4768e-08 -1.7520e-08 -1.1948e-08 -7.7132e-09
    13  2.3680e-01  2.3601e-01  2.3669e-01  2.3086e-01  2.2631e-01  2.1841e-01  2.0782e-01  1.9044e-01  1.6531e-01  1.3773e-01  1.0589e-01  7.5204e-02  5.0940e-02  3.4928e-02  2.3636e-02  1.5904e-02  1.0640e-02  7.2133e-03  4.8479e-03  3.1953e-03  5.9009e-04  5.0877e-05  7.4271e-06  1.2877e-06  6.4003e-07  4.4308e-07  2.0726e-07  4.9850e-09 -9.4263e-08 -1.3883e-07 -1.5267e-07 -1.2695e-07 -1.1299e-07 -9.0895e-08 -6.4288e-08 -4.9764e-08 -3.5897e-08 -2.4282e-08 -1.6535e-08 -1.0954e-08
    14  1.6479e-01  1.6195e-01  1.6107e-01  1.5927e-01  1.5440e-01  1.4727e-01  1.4236e-01  1.2837e-01  1.1208e-01  9.4664e-02  7.4719e-02  5.6166e-02  3.9941e-02  2.8574e-02  1.9817e-02  1.3550e-02  9.4624e-03  6.3872e-03  4.3389e-03  2.8485e-03  5.7737e-04  4.9152e-05  7.0302e-06  1.0051e-06  2.9686e-07  5.8741e-08 -1.7586e-07 -3.1341e-07 -3.4779e-07 -3.3435e-07 -2.9274e-07 -2.3376e-07 -1.8335e-07 -1.3392e-07 -9.5808e-08 -6.9554e-08 -4.7759e-08 -3.2276e-08 -2.2747e-08 -1.3864e-08
    15  1.1413e-01  1.1216e-01  1.1084e-01  1.0899e-01  1.0545e-01  1.0199e-01  9.5715e-02  8.6970e-02  7.7145e-02  6.4602e-02  5.2843e-02  4.0912e-02  3.0730e-02  2.2410e-02  1.5857e-02  1.1170e-02  7.9172e-03  5.4981e-03  3.8046e-03  2.5015e-03  4.8571e-04  4.5120e-05  6.6036e-06  9.5418e-07 -2.0597e-07 -5.0810e-07 -7.6463e-07 -8.0505e-07 -6.9587e-07 -6.0067e-07 -4.8277e-07 -3.6626e-07 -2.6411e-07 -1.8746e-07 -1.3030e-07 -9.0351e-08 -6.1160e-08 -4.2399e-08 -2.8132e-08 -1.6869e-08
    16  7.8284e-02  7.8579e-02  7.6798e-02  7.5125e-02  7.2246e-02  6.9740e-02  6.5266e-02  5.9013e-02  5.2960e-02  4.4861e-02  3.7253e-02  2.9388e-02  2.3039e-02  1.7117e-02  1.2490e-02  8.8566e-03  6.4474e-03  4.6169e-03  3.2132e-03  2.1666e-03  4.1775e-04  3.7789e-05  5.5913e-06  6.6003e-07 -1.0092e-06 -1.4623e-06 -1.6427e-06 -1.5152e-06 -1.2198e-06 -9.6449e-07 -7.2142e-07 -5.0643e-07 -3.5170e-07 -2.4735e-07 -1.6334e-07 -1.1019e-07 -7.6558e-08 -5.0854e-08 -3.2775e-08 -1.9571e-08
    17  5.4299e-02  5.3833e-02  5.3100e-02  5.1943e-02  4.9650e-02  4.7782e-02  4.4487e-02  4.0622e-02  3.6494e-02  3.1113e-02  2.6444e-02  2.1068e-02  1.6852e-02  1.2833e-02  9.5598e-03  7.0545e-03  5.2056e-03  3.6887e-03  2.6408e-03  1.7983e-03  3.4724e-04  3.1035e-05  4.5974e-06  2.5680e-07 -2.3894e-06 -3.0726e-06 -3.0257e-06 -2.5270e-06 -1.9199e-06 -1.4023e-06 -9.6861e-07 -6.5843e-07 -4.4290e-07 -3.0137e-07 -1.9631e-07 -1.3288e-07 -8.8827e-08 -5.8086e-08 -3.6147e-08 -2.1766e-08
    18  3.7596e-02  3.6919e-02  3.6644e-02  3.5931e-02  3.4272e-02  3.2712e-02  3.0488e-02  2.7878e-02  2.5228e-02  2.1765e-02  1.8407e-02  1.5250e-02  1.2191e-02  9.5106e-03  7.2253e-03  5.5094e-03  4.0742e-03  2.9443e-03  2.1594e-03  1.4466e-03  2.7471e-04  2.3544e-05  2.8361e-06 -4.7586e-07 -4.9897e-06 -5.9522e-06 -5.1413e-06 -3.8629e-06 -2.7309e-06 -1.8393e-06 -1.2253e-06 -7.9805e-07 -5.2493e-07 -3.4758e-07 -2.2591e-07 -1.5022e-07 -9.5407e-08 -6.1703e-08 -3.8178e-08 -2.3067e-08
    19  2.5760e-02  2.5513e-02  2.5371e-02  2.4715e-02  2.3759e-02  2.2423e-02  2.1011e-02  1.9210e-02  1.7201e-02  1.5276e-02  1.2838e-02  1.0898e-02  8.7985e-03  7.0052e-03  5.4214e-03  4.1847e-03  3.1720e-03  2.3181e-03  1.7101e-03  1.1642e-03  2.1544e-04  1.3433e-05 -2.1180e-06 -3.3960e-06 -1.0642e-05 -1.0722e-05 -7.9993e-06 -5.3382e-06 -3.4695e-06 -2.1921e-06 -1.4247e-06 -8.9885e-07 -5.7712e-07 -3.7765e-07 -2.3586e-07 -1.5556e-07 -9.7969e-08 -6.1306e-08 -3.7485e-08 -2.3230e-08
    20  1.7774e-02  1.7761e-02  1.7405e-02  1.7100e-02  1.6382e-02  1.5564e-02  1.4465e-02  1.3328e-02  1.1950e-02  1.0509e-02  9.0502e-03  7.6943e-03  6.3664e-03  5.0706e-03  4.0570e-03  3.1358e-03  2.4217e-03  1.7948e-03  1.3356e-03  9.3426e-04  1.5844e-04 -2.5278e-05 -2.8725e-05 -1.9477e-05 -2.3109e-05 -1.6590e-05 -1.0177e-05 -6.2465e-06 -3.8101e-06 -2.3235e-06 -1.4880e-06 -9.0584e-07 -5.6609e-07 -3.6100e-07 -2.2817e-07 -1.4620e-07 -9.2192e-08 -5.6989e-08 -3.6757e-08 -2.2291e-08
