 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
    11  8.2975e-01  8.2250e-01  8.2959e-01  8.4031e-01  8.5166e-01  8.5467e-01  8.7792e-01  9.0752e-01  9.6570e-01  1.0471e+00  1.0767e+00  1.0404e+00  1.0292e+00  1.0079e+00  9.9639e-01  9.8790e-01  9.7786e-01  9.7175e-01  9.5768e-01  9.5005e-01  9.0485e-01  8.9157e-01  8.9243e-01  8.8349e-01  8.6189e-01  8.5593e-01  8.3246e-01  8.1013e-01  7.8945e-01  7.7908e-01  7.7850e-01  7.8063e-01  7.8302e-01  7.9643e-01  7.9766e-01  8.1646e-01  8.5486e-01  9.2747e-01  1.0818e+00  1.5339e+00
    12  8.7027e-01  8.7056e-01  8.8085e-01  8.8154e-01  8.9973e-01  9.1018e-01  9.2665e-01  9.5092e-01  9.8663e-01  1.0313e+00  1.0457e+00  1.0354e+00  1.0227e+00  1.0078e+00  9.9417e-01  9.8623e-01  9.8628e-01  9.8131e-01  9.7001e-01  9.5755e-01  9.0329e-01  8.8876e-01  8.8984e-01  8.8400e-01  8.1797e-01  8.0619e-01  7.8229e-01  7.5188e-01  7.3645e-01  7.2370e-01  7.3186e-01  7.3765e-01  7.5877e-01  7.7645e-01  7.9530e-01  8.1875e-01  8.6578e-01  9.3986e-01  1.0809e+00  1.5261e+00
    13  8.8816e-01  8.9477e-01  9.0055e-01  9.0184e-01  9.2008e-01  9.2096e-01  9.4825e-01  9.6436e-01  9.8614e-01  1.0188e+00  1.0276e+00  1.0176e+00  1.0100e+00  1.0029e+00  1.0114e+00  9.9294e-01  9.7190e-01  9.7170e-01  9.7317e-01  9.6778e-01  9.0669e-01  8.8650e-01  8.8945e-01  8.7051e-01  7.5541e-01  7.2243e-01  6.9649e-01  6.7611e-01  6.7233e-01  6.8740e-01  7.0892e-01  7.3243e-01  7.5055e-01  7.7548e-01  8.0136e-01  8.3733e-01  8.7626e-01  9.4847e-01  1.0949e+00  1.5526e+00
    14  8.9995e-01  9.0505e-01  9.0589e-01  9.1444e-01  9.3081e-01  9.2900e-01  9.6005e-01  9.7215e-01  9.7698e-01  1.0043e+00  1.0148e+00  1.0047e+00  9.9966e-01  9.9523e-01  1.0011e+00  9.9659e-01  9.9416e-01  9.7039e-01  9.6960e-01  9.7625e-01  9.0706e-01  8.9377e-01  8.9461e-01  8.5326e-01  6.5477e-01  5.9857e-01  5.8020e-01  6.0006e-01  6.4349e-01  6.8287e-01  7.1771e-01  7.5476e-01  7.7878e-01  7.9792e-01  8.2525e-01  8.5239e-01  8.8957e-01  9.5953e-01  1.1126e+00  1.5658e+00
    15  9.1035e-01  9.1142e-01  9.0984e-01  9.1923e-01  9.2929e-01  9.3881e-01  9.5162e-01  9.5633e-01  9.7808e-01  9.8898e-01  9.8917e-01  1.0012e+00  9.9010e-01  9.8116e-01  9.8202e-01  9.8837e-01  9.7740e-01  9.7887e-01  9.7701e-01  9.8564e-01  9.0731e-01  8.9135e-01  8.9139e-01  8.2166e-01  5.0168e-01  4.8931e-01  5.4492e-01  6.2189e-01  6.7499e-01  7.3289e-01  7.7015e-01  7.9738e-01  8.2091e-01  8.4272e-01  8.6389e-01  8.8274e-01  9.1390e-01  9.8002e-01  1.1306e+00  1.5706e+00
    16  9.1170e-01  9.1865e-01  9.1338e-01  9.2033e-01  9.2667e-01  9.4089e-01  9.4974e-01  9.5095e-01  9.6967e-01  9.7007e-01  9.8301e-01  9.7723e-01  9.8095e-01  9.7390e-01  9.8216e-01  9.7581e-01  9.7806e-01  9.8096e-01  9.8790e-01  9.9734e-01  9.0642e-01  8.8749e-01  8.8383e-01  7.6464e-01  3.8896e-01  5.0870e-01  6.2992e-01  7.1495e-01  7.7989e-01  8.1231e-01  8.3154e-01  8.5760e-01  8.7115e-01  8.8038e-01  9.0162e-01  9.2222e-01  9.4194e-01  1.0025e+00  1.1409e+00  1.5963e+00
    17  9.1836e-01  9.1681e-01  9.1276e-01  9.2752e-01  9.2748e-01  9.3502e-01  9.4539e-01  9.5181e-01  9.5822e-01  9.7119e-01  9.6887e-01  9.7222e-01  9.8162e-01  9.7824e-01  9.7475e-01  9.7166e-01  9.6829e-01  9.7229e-01  9.9041e-01  1.0082e+00  9.1049e-01  8.8796e-01  8.7712e-01  6.4318e-01  5.1292e-01  6.9524e-01  8.0602e-01  8.6294e-01  8.8097e-01  9.0155e-01  9.0897e-01  9.1439e-01  9.1511e-01  9.2999e-01  9.3914e-01  9.3668e-01  9.6884e-01  1.0216e+00  1.1592e+00  1.6083e+00
    18  9.2265e-01  9.1716e-01  9.1100e-01  9.2923e-01  9.3114e-01  9.3786e-01  9.4339e-01  9.5327e-01  9.6587e-01  9.6750e-01  9.6929e-01  9.6858e-01  9.7566e-01  9.7771e-01  9.7039e-01  9.7574e-01  9.6710e-01  9.7094e-01  9.8295e-01  1.0091e+00  9.0529e-01  8.8425e-01  8.4204e-01  4.6166e-01  7.7506e-01  9.2830e-01  9.7073e-01  9.7090e-01  9.6895e-01  9.6493e-01  9.7078e-01  9.7423e-01  9.6464e-01  9.5308e-01  9.5341e-01  9.6092e-01  9.8371e-01  1.0411e+00  1.1707e+00  1.6200e+00
    19  9.2272e-01  9.1650e-01  9.1655e-01  9.2660e-01  9.3817e-01  9.3507e-01  9.4482e-01  9.4957e-01  9.5267e-01  9.5941e-01  9.5890e-01  9.7462e-01  9.6786e-01  9.7263e-01  9.6595e-01  9.6908e-01  9.7396e-01  9.7749e-01  9.9365e-01  1.0091e+00  8.9380e-01  8.2631e-01  6.9794e-01  4.5658e-01  1.0031e+00  1.0885e+00  1.0769e+00  1.0526e+00  1.0346e+00  1.0184e+00  1.0036e+00  9.9197e-01  9.8063e-01  9.7968e-01  9.6752e-01  9.8130e-01  9.9515e-01  1.0413e+00  1.1745e+00  1.6283e+00
    20  9.1859e-01  9.2387e-01  9.2040e-01  9.2525e-01  9.3529e-01  9.3662e-01  9.4468e-01  9.4637e-01  9.4915e-01  9.5301e-01  9.5124e-01  9.5659e-01  9.7086e-01  9.6077e-01  9.6241e-01  9.6946e-01  9.7598e-01  9.8335e-01  1.0048e+00  1.0354e+00  8.5035e-01  6.8681e-01  7.5698e-01  8.2635e-01  1.1726e+00  1.1860e+00  1.1491e+00  1.1049e+00  1.0817e+00  1.0520e+00  1.0324e+00  1.0086e+00  9.9046e-01  9.8376e-01  9.8465e-01  9.8922e-01  1.0027e+00  1.0513e+00  1.1909e+00  1.6281e+00
