 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
    11  3.8687e-03  1.0224e-02  1.6637e-02  2.4772e-02  3.2899e-02  5.3247e-02  7.5725e-02  1.0341e-01  1.4700e-01  1.9361e-01  1.9176e-01  1.4544e-01  1.0454e-01  7.4527e-02  5.2698e-02  3.7028e-02  2.6457e-02  1.8523e-02  1.2932e-02  9.1488e-03  3.5710e-03  6.0345e-04  1.0259e-04  1.7276e-05  5.2062e-06  3.6850e-06  2.5754e-06  1.8205e-06  1.3046e-06  9.5204e-07  6.8684e-07  5.0112e-07  3.6956e-07  2.7118e-07  2.0175e-07  1.4778e-07  1.0980e-07  8.2525e-08  6.3593e-08  5.1594e-08
    12  2.0352e-03  5.7177e-03  9.3793e-03  1.8578e-02  2.9526e-02  4.1141e-02  5.5278e-02  7.4568e-02  9.4566e-02  1.1138e-01  1.1360e-01  9.6630e-02  7.5809e-02  5.6812e-02  4.1138e-02  2.9506e-02  2.1221e-02  1.5168e-02  1.0856e-02  7.7467e-03  3.0331e-03  5.1196e-04  8.7824e-05  1.4684e-05  4.3967e-06  3.1085e-06  2.2273e-06  1.6150e-06  1.1875e-06  8.7443e-07  6.5343e-07  4.8346e-07  3.6542e-07  2.7309e-07  2.0322e-07  1.5232e-07  1.1569e-07  8.7388e-08  6.7973e-08  5.4869e-08
    13  1.5742e-03  4.2307e-03  9.0178e-03  1.6190e-02  2.3328e-02  3.0679e-02  4.1237e-02  5.1130e-02  6.1683e-02  6.9667e-02  6.9432e-02  6.2903e-02  5.1458e-02  4.0437e-02  3.0900e-02  2.3084e-02  1.6733e-02  1.2140e-02  8.8545e-03  6.3812e-03  2.5285e-03  4.2833e-04  7.3275e-05  1.2466e-05  3.6503e-06  2.5911e-06  1.8956e-06  1.4149e-06  1.0773e-06  8.3219e-07  6.3299e-07  4.9396e-07  3.7737e-07  2.8916e-07  2.1871e-07  1.6614e-07  1.2539e-07  9.5810e-08  7.4560e-08  6.0284e-08
    14  1.7720e-03  4.7316e-03  8.4839e-03  1.3991e-02  1.6076e-02  2.1293e-02  2.8042e-02  3.4889e-02  4.0161e-02  4.4540e-02  4.4651e-02  4.1154e-02  3.5368e-02  2.8404e-02  2.2361e-02  1.7115e-02  1.3005e-02  9.5434e-03  7.0786e-03  5.2546e-03  2.0863e-03  3.5410e-04  6.0166e-05  1.0110e-05  2.8746e-06  2.0900e-06  1.5993e-06  1.2820e-06  1.0283e-06  8.2902e-07  6.7226e-07  5.3086e-07  4.1507e-07  3.1751e-07  2.4354e-07  1.8747e-07  1.4216e-07  1.0776e-07  8.3507e-08  6.7197e-08
    15  3.6849e-04  3.1637e-03  5.6083e-03  8.3608e-03  1.2540e-02  1.6464e-02  2.0536e-02  2.3618e-02  2.6060e-02  2.8139e-02  2.9072e-02  2.6706e-02  2.3476e-02  1.9923e-02  1.5979e-02  1.2647e-02  9.7689e-03  7.4154e-03  5.6067e-03  4.1823e-03  1.6745e-03  2.8758e-04  4.9458e-05  8.0828e-06  2.1048e-06  1.6270e-06  1.3891e-06  1.2290e-06  1.0760e-06  9.2400e-07  7.6863e-07  6.1450e-07  4.8343e-07  3.7439e-07  2.8815e-07  2.1436e-07  1.6172e-07  1.2321e-07  9.4412e-08  7.5267e-08
    16  6.3298e-04  2.3984e-03  4.6380e-03  6.6741e-03  8.0610e-03  1.0714e-02  1.3714e-02  1.5723e-02  1.7791e-02  1.8455e-02  1.8402e-02  1.7634e-02  1.5906e-02  1.3674e-02  1.1335e-02  9.0355e-03  7.1170e-03  5.5720e-03  4.2883e-03  3.2199e-03  1.3153e-03  2.2497e-04  3.8470e-05  6.2257e-06  1.3455e-06  1.2682e-06  1.3438e-06  1.3637e-06  1.2802e-06  1.1362e-06  9.5094e-07  7.6328e-07  5.9932e-07  4.5972e-07  3.4176e-07  2.5635e-07  1.9112e-07  1.4374e-07  1.0897e-07  8.6073e-08
    17  8.9169e-04  2.3170e-03  3.6559e-03  4.6093e-03  6.4530e-03  7.7579e-03  9.3468e-03  1.0947e-02  1.1689e-02  1.2085e-02  1.2154e-02  1.1712e-02  1.0652e-02  9.3530e-03  7.9597e-03  6.5306e-03  5.1810e-03  4.1138e-03  3.2055e-03  2.4941e-03  1.0278e-03  1.7460e-04  2.9908e-05  4.4776e-06  5.6642e-07  1.1490e-06  1.7005e-06  1.8811e-06  1.7937e-06  1.5536e-06  1.2645e-06  9.9475e-07  7.5547e-07  5.6876e-07  4.2091e-07  3.0918e-07  2.2620e-07  1.6660e-07  1.2599e-07  9.8818e-08
    18  3.6587e-04  1.3362e-03  2.1360e-03  3.1986e-03  4.3546e-03  5.1395e-03  6.1145e-03  7.0044e-03  7.9138e-03  8.0304e-03  8.2079e-03  7.8818e-03  7.1746e-03  6.4126e-03  5.5545e-03  4.6450e-03  3.7519e-03  3.0283e-03  2.4081e-03  1.9234e-03  7.9102e-04  1.3474e-04  2.3278e-05  3.1028e-06 -2.3973e-08  1.7833e-06  2.8772e-06  3.0300e-06  2.7049e-06  2.2175e-06  1.7482e-06  1.3177e-06  9.6937e-07  7.0789e-07  5.1430e-07  3.6871e-07  2.6721e-07  1.9301e-07  1.4487e-07  1.1230e-07
    19  2.6155e-04  8.5015e-04  1.4942e-03  2.2974e-03  2.9810e-03  3.8590e-03  4.3083e-03  4.7364e-03  5.3271e-03  5.4625e-03  5.3181e-03  5.2789e-03  4.9003e-03  4.3917e-03  3.8072e-03  3.2459e-03  2.7320e-03  2.2229e-03  1.7907e-03  1.4313e-03  5.9831e-04  1.0269e-04  1.8437e-05  2.5427e-06  9.9106e-07  4.9417e-06  6.0037e-06  5.3483e-06  4.2980e-06  3.2846e-06  2.4125e-06  1.7374e-06  1.2413e-06  8.8748e-07  6.2176e-07  4.3618e-07  3.0952e-07  2.2380e-07  1.6345e-07  1.2580e-07
    20  3.1622e-04  6.0555e-04  9.9296e-04  1.5239e-03  2.0288e-03  2.5498e-03  2.8978e-03  3.2540e-03  3.5794e-03  3.7492e-03  3.6909e-03  3.5387e-03  3.3106e-03  2.9988e-03  2.6849e-03  2.2940e-03  1.9588e-03  1.6442e-03  1.3439e-03  1.0976e-03  4.5130e-04  9.0392e-05  2.9038e-05  1.3546e-05  1.4770e-05  1.5949e-05  1.2586e-05  9.3235e-06  6.5953e-06  4.5846e-06  3.1976e-06  2.2181e-06  1.5322e-06  1.0578e-06  7.3540e-07  5.1247e-07  3.5824e-07  2.5238e-07  1.8405e-07  1.3957e-07
