 iy/ix           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40
    11  1.4355e+02  1.8559e+02  1.9797e+02  2.0149e+02  2.0070e+02  1.9838e+02  1.9285e+02  1.8468e+02  1.7083e+02  1.5197e+02  1.4086e+02  1.3995e+02  1.3891e+02  1.3715e+02  1.3657e+02  1.3594e+02  1.3460e+02  1.3160e+02  1.2859e+02  1.2256e+02  1.0807e+02  7.2434e+01  6.0738e+01  5.4904e+01  6.6831e+01  8.0134e+01  8.8723e+01  9.4990e+01  1.0048e+02  1.0435e+02  1.0727e+02  1.0944e+02  1.1061e+02  1.1114e+02  1.1053e+02  1.0953e+02  1.0782e+02  1.0533e+02  1.0208e+02  9.9658e+01
    12  1.3190e+02  1.6697e+02  1.8109e+02  1.8460e+02  1.8245e+02  1.7988e+02  1.7678e+02  1.6955e+02  1.6030e+02  1.4687e+02  1.3931e+02  1.3694e+02  1.3555e+02  1.3394e+02  1.3293e+02  1.3189e+02  1.3130e+02  1.2871e+02  1.2704e+02  1.2128e+02  1.0543e+02  7.1564e+01  5.9746e+01  5.5074e+01  6.8292e+01  8.2817e+01  9.2596e+01  1.0064e+02  1.0631e+02  1.1053e+02  1.1246e+02  1.1288e+02  1.1184e+02  1.1070e+02  1.0884e+02  1.0688e+02  1.0482e+02  1.0160e+02  9.8881e+01  9.6094e+01
    13  1.2421e+02  1.5638e+02  1.6855e+02  1.7345e+02  1.7338e+02  1.7151e+02  1.6755e+02  1.6068e+02  1.5270e+02  1.4500e+02  1.3818e+02  1.3606e+02  1.3292e+02  1.3169e+02  1.2907e+02  1.2852e+02  1.2973e+02  1.2676e+02  1.2403e+02  1.1729e+02  1.0327e+02  6.9994e+01  5.9436e+01  5.4486e+01  7.1212e+01  8.8327e+01  1.0053e+02  1.0720e+02  1.1091e+02  1.1304e+02  1.1232e+02  1.0995e+02  1.0696e+02  1.0491e+02  1.0309e+02  1.0057e+02  9.8845e+01  9.6239e+01  9.2474e+01  9.1330e+01
    14  1.1844e+02  1.4841e+02  1.6001e+02  1.6638e+02  1.6694e+02  1.6464e+02  1.5890e+02  1.5435e+02  1.4855e+02  1.4284e+02  1.3779e+02  1.3352e+02  1.3261e+02  1.2839e+02  1.2804e+02  1.2627e+02  1.2535e+02  1.2484e+02  1.2308e+02  1.1455e+02  1.0051e+02  6.9342e+01  5.9030e+01  5.5847e+01  7.7158e+01  9.6988e+01  1.0651e+02  1.1082e+02  1.0992e+02  1.0787e+02  1.0499e+02  1.0161e+02  9.8927e+01  9.6855e+01  9.4539e+01  9.2974e+01  9.1104e+01  8.9639e+01  8.7248e+01  8.5347e+01
    15  1.1508e+02  1.4212e+02  1.5373e+02  1.5926e+02  1.6139e+02  1.5793e+02  1.5600e+02  1.5224e+02  1.4555e+02  1.4016e+02  1.3636e+02  1.3305e+02  1.2967e+02  1.2717e+02  1.2634e+02  1.2499e+02  1.2484e+02  1.2177e+02  1.1964e+02  1.1242e+02  9.9658e+01  6.8786e+01  5.8065e+01  5.5168e+01  8.5642e+01  1.0253e+02  1.0639e+02  1.0364e+02  1.0002e+02  9.7085e+01  9.4031e+01  9.1375e+01  8.9136e+01  8.8419e+01  8.7353e+01  8.6343e+01  8.5238e+01  8.4169e+01  8.2127e+01  8.0180e+01
    16  1.1088e+02  1.3659e+02  1.4633e+02  1.5286e+02  1.5535e+02  1.5436e+02  1.5244e+02  1.4850e+02  1.4340e+02  1.3885e+02  1.3564e+02  1.3314e+02  1.2912e+02  1.2695e+02  1.2536e+02  1.2396e+02  1.2329e+02  1.2059e+02  1.1730e+02  1.0971e+02  9.5985e+01  6.6653e+01  5.6844e+01  5.8129e+01  9.1480e+01  9.7628e+01  9.3838e+01  8.9451e+01  8.6840e+01  8.4866e+01  8.3834e+01  8.3196e+01  8.1947e+01  8.1613e+01  8.0936e+01  7.9917e+01  7.9743e+01  7.9172e+01  7.7489e+01  7.5739e+01
    17  1.0669e+02  1.3155e+02  1.4174e+02  1.4720e+02  1.5015e+02  1.5004e+02  1.4800e+02  1.4615e+02  1.4210e+02  1.3793e+02  1.3490e+02  1.3170e+02  1.2960e+02  1.2583e+02  1.2341e+02  1.2143e+02  1.2161e+02  1.1850e+02  1.1519e+02  1.0849e+02  9.4711e+01  6.4637e+01  5.5708e+01  6.2767e+01  8.3136e+01  8.2701e+01  7.9643e+01  7.7914e+01  7.7271e+01  7.6285e+01  7.7085e+01  7.7388e+01  7.6768e+01  7.6658e+01  7.7355e+01  7.6727e+01  7.6909e+01  7.5977e+01  7.4576e+01  7.3169e+01
    18  1.0332e+02  1.2693e+02  1.3774e+02  1.4244e+02  1.4642e+02  1.4598e+02  1.4404e+02  1.4287e+02  1.3899e+02  1.3561e+02  1.3315e+02  1.2988e+02  1.2724e+02  1.2502e+02  1.2345e+02  1.2074e+02  1.1926e+02  1.1768e+02  1.1478e+02  1.0792e+02  9.3915e+01  6.5279e+01  5.8025e+01  7.2919e+01  6.8781e+01  7.1211e+01  7.1290e+01  7.1523e+01  7.1746e+01  7.2165e+01  7.3027e+01  7.4000e+01  7.3511e+01  7.4011e+01  7.4672e+01  7.4740e+01  7.4884e+01  7.3892e+01  7.2762e+01  7.1936e+01
    19  1.0180e+02  1.2389e+02  1.3291e+02  1.3892e+02  1.4198e+02  1.4170e+02  1.4162e+02  1.3824e+02  1.3679e+02  1.3323e+02  1.3117e+02  1.2768e+02  1.2628e+02  1.2331e+02  1.2114e+02  1.2009e+02  1.1834e+02  1.1592e+02  1.1335e+02  1.0567e+02  9.2530e+01  6.7517e+01  6.6567e+01  7.4139e+01  6.0924e+01  6.5459e+01  6.7349e+01  6.9025e+01  6.9882e+01  7.0574e+01  7.1346e+01  7.2321e+01  7.2371e+01  7.3041e+01  7.3613e+01  7.3776e+01  7.3525e+01  7.3032e+01  7.1800e+01  7.0960e+01
    20  9.9061e+01  1.1971e+02  1.2847e+02  1.3493e+02  1.3766e+02  1.3869e+02  1.3878e+02  1.3756e+02  1.3619e+02  1.3285e+02  1.3000e+02  1.2794e+02  1.2581e+02  1.2223e+02  1.2148e+02  1.1908e+02  1.1715e+02  1.1446e+02  1.1137e+02  1.0482e+02  9.4308e+01  7.7195e+01  6.9046e+01  6.4064e+01  6.1772e+01  6.4994e+01  6.7969e+01  6.8867e+01  7.0934e+01  7.1589e+01  7.2006e+01  7.2930e+01  7.2711e+01  7.3002e+01  7.3019e+01  7.3624e+01  7.3258e+01  7.2106e+01  7.0838e+01  6.9447e+01
